inventory_id	film_id	store_id	last_update
1	1	1	2/15/2006 10:09:17 AM
2	1	1	2/15/2006 10:09:17 AM
3	1	1	2/15/2006 10:09:17 AM
4	1	1	2/15/2006 10:09:17 AM
5	1	2	2/15/2006 10:09:17 AM
6	1	2	2/15/2006 10:09:17 AM
7	1	2	2/15/2006 10:09:17 AM
8	1	2	2/15/2006 10:09:17 AM
9	2	2	2/15/2006 10:09:17 AM
10	2	2	2/15/2006 10:09:17 AM
11	2	2	2/15/2006 10:09:17 AM
12	3	2	2/15/2006 10:09:17 AM
13	3	2	2/15/2006 10:09:17 AM
14	3	2	2/15/2006 10:09:17 AM
15	3	2	2/15/2006 10:09:17 AM
16	4	1	2/15/2006 10:09:17 AM
17	4	1	2/15/2006 10:09:17 AM
18	4	1	2/15/2006 10:09:17 AM
19	4	1	2/15/2006 10:09:17 AM
20	4	2	2/15/2006 10:09:17 AM
21	4	2	2/15/2006 10:09:17 AM
22	4	2	2/15/2006 10:09:17 AM
23	5	2	2/15/2006 10:09:17 AM
24	5	2	2/15/2006 10:09:17 AM
25	5	2	2/15/2006 10:09:17 AM
26	6	1	2/15/2006 10:09:17 AM
27	6	1	2/15/2006 10:09:17 AM
28	6	1	2/15/2006 10:09:17 AM
29	6	2	2/15/2006 10:09:17 AM
30	6	2	2/15/2006 10:09:17 AM
31	6	2	2/15/2006 10:09:17 AM
32	7	1	2/15/2006 10:09:17 AM
33	7	1	2/15/2006 10:09:17 AM
34	7	2	2/15/2006 10:09:17 AM
35	7	2	2/15/2006 10:09:17 AM
36	7	2	2/15/2006 10:09:17 AM
37	8	2	2/15/2006 10:09:17 AM
38	8	2	2/15/2006 10:09:17 AM
39	8	2	2/15/2006 10:09:17 AM
40	8	2	2/15/2006 10:09:17 AM
41	9	1	2/15/2006 10:09:17 AM
42	9	1	2/15/2006 10:09:17 AM
43	9	1	2/15/2006 10:09:17 AM
44	9	2	2/15/2006 10:09:17 AM
45	9	2	2/15/2006 10:09:17 AM
46	10	1	2/15/2006 10:09:17 AM
47	10	1	2/15/2006 10:09:17 AM
48	10	1	2/15/2006 10:09:17 AM
49	10	1	2/15/2006 10:09:17 AM
50	10	2	2/15/2006 10:09:17 AM
51	10	2	2/15/2006 10:09:17 AM
52	10	2	2/15/2006 10:09:17 AM
53	11	1	2/15/2006 10:09:17 AM
54	11	1	2/15/2006 10:09:17 AM
55	11	1	2/15/2006 10:09:17 AM
56	11	1	2/15/2006 10:09:17 AM
57	11	2	2/15/2006 10:09:17 AM
58	11	2	2/15/2006 10:09:17 AM
59	11	2	2/15/2006 10:09:17 AM
60	12	1	2/15/2006 10:09:17 AM
61	12	1	2/15/2006 10:09:17 AM
62	12	1	2/15/2006 10:09:17 AM
63	12	2	2/15/2006 10:09:17 AM
64	12	2	2/15/2006 10:09:17 AM
65	12	2	2/15/2006 10:09:17 AM
66	12	2	2/15/2006 10:09:17 AM
67	13	2	2/15/2006 10:09:17 AM
68	13	2	2/15/2006 10:09:17 AM
69	13	2	2/15/2006 10:09:17 AM
70	13	2	2/15/2006 10:09:17 AM
71	15	1	2/15/2006 10:09:17 AM
72	15	1	2/15/2006 10:09:17 AM
73	15	2	2/15/2006 10:09:17 AM
74	15	2	2/15/2006 10:09:17 AM
75	15	2	2/15/2006 10:09:17 AM
76	15	2	2/15/2006 10:09:17 AM
77	16	1	2/15/2006 10:09:17 AM
78	16	1	2/15/2006 10:09:17 AM
79	16	2	2/15/2006 10:09:17 AM
80	16	2	2/15/2006 10:09:17 AM
81	17	1	2/15/2006 10:09:17 AM
82	17	1	2/15/2006 10:09:17 AM
83	17	1	2/15/2006 10:09:17 AM
84	17	2	2/15/2006 10:09:17 AM
85	17	2	2/15/2006 10:09:17 AM
86	17	2	2/15/2006 10:09:17 AM
87	18	1	2/15/2006 10:09:17 AM
88	18	1	2/15/2006 10:09:17 AM
89	18	1	2/15/2006 10:09:17 AM
90	18	2	2/15/2006 10:09:17 AM
91	18	2	2/15/2006 10:09:17 AM
92	18	2	2/15/2006 10:09:17 AM
93	19	1	2/15/2006 10:09:17 AM
94	19	1	2/15/2006 10:09:17 AM
95	19	1	2/15/2006 10:09:17 AM
96	19	1	2/15/2006 10:09:17 AM
97	19	2	2/15/2006 10:09:17 AM
98	19	2	2/15/2006 10:09:17 AM
99	20	1	2/15/2006 10:09:17 AM
100	20	1	2/15/2006 10:09:17 AM
101	20	1	2/15/2006 10:09:17 AM
102	21	1	2/15/2006 10:09:17 AM
103	21	1	2/15/2006 10:09:17 AM
104	21	2	2/15/2006 10:09:17 AM
105	21	2	2/15/2006 10:09:17 AM
106	21	2	2/15/2006 10:09:17 AM
107	21	2	2/15/2006 10:09:17 AM
108	22	1	2/15/2006 10:09:17 AM
109	22	1	2/15/2006 10:09:17 AM
110	22	1	2/15/2006 10:09:17 AM
111	22	1	2/15/2006 10:09:17 AM
112	22	2	2/15/2006 10:09:17 AM
113	22	2	2/15/2006 10:09:17 AM
114	22	2	2/15/2006 10:09:17 AM
115	23	1	2/15/2006 10:09:17 AM
116	23	1	2/15/2006 10:09:17 AM
117	23	1	2/15/2006 10:09:17 AM
118	23	2	2/15/2006 10:09:17 AM
119	23	2	2/15/2006 10:09:17 AM
120	24	1	2/15/2006 10:09:17 AM
121	24	1	2/15/2006 10:09:17 AM
122	24	1	2/15/2006 10:09:17 AM
123	24	1	2/15/2006 10:09:17 AM
124	25	1	2/15/2006 10:09:17 AM
125	25	1	2/15/2006 10:09:17 AM
126	25	1	2/15/2006 10:09:17 AM
127	25	1	2/15/2006 10:09:17 AM
128	25	2	2/15/2006 10:09:17 AM
129	25	2	2/15/2006 10:09:17 AM
130	26	1	2/15/2006 10:09:17 AM
131	26	1	2/15/2006 10:09:17 AM
132	26	2	2/15/2006 10:09:17 AM
133	26	2	2/15/2006 10:09:17 AM
134	26	2	2/15/2006 10:09:17 AM
135	27	1	2/15/2006 10:09:17 AM
136	27	1	2/15/2006 10:09:17 AM
137	27	1	2/15/2006 10:09:17 AM
138	27	1	2/15/2006 10:09:17 AM
139	28	1	2/15/2006 10:09:17 AM
140	28	1	2/15/2006 10:09:17 AM
141	28	1	2/15/2006 10:09:17 AM
142	29	1	2/15/2006 10:09:17 AM
143	29	1	2/15/2006 10:09:17 AM
144	30	1	2/15/2006 10:09:17 AM
145	30	1	2/15/2006 10:09:17 AM
146	31	1	2/15/2006 10:09:17 AM
147	31	1	2/15/2006 10:09:17 AM
148	31	1	2/15/2006 10:09:17 AM
149	31	1	2/15/2006 10:09:17 AM
150	31	2	2/15/2006 10:09:17 AM
151	31	2	2/15/2006 10:09:17 AM
152	31	2	2/15/2006 10:09:17 AM
153	31	2	2/15/2006 10:09:17 AM
154	32	2	2/15/2006 10:09:17 AM
155	32	2	2/15/2006 10:09:17 AM
156	34	2	2/15/2006 10:09:17 AM
157	34	2	2/15/2006 10:09:17 AM
158	34	2	2/15/2006 10:09:17 AM
159	34	2	2/15/2006 10:09:17 AM
160	35	1	2/15/2006 10:09:17 AM
161	35	1	2/15/2006 10:09:17 AM
162	35	1	2/15/2006 10:09:17 AM
163	35	1	2/15/2006 10:09:17 AM
164	35	2	2/15/2006 10:09:17 AM
165	35	2	2/15/2006 10:09:17 AM
166	35	2	2/15/2006 10:09:17 AM
167	37	1	2/15/2006 10:09:17 AM
168	37	1	2/15/2006 10:09:17 AM
169	37	1	2/15/2006 10:09:17 AM
170	37	1	2/15/2006 10:09:17 AM
171	37	2	2/15/2006 10:09:17 AM
172	37	2	2/15/2006 10:09:17 AM
173	37	2	2/15/2006 10:09:17 AM
174	39	1	2/15/2006 10:09:17 AM
175	39	1	2/15/2006 10:09:17 AM
176	39	1	2/15/2006 10:09:17 AM
177	39	2	2/15/2006 10:09:17 AM
178	39	2	2/15/2006 10:09:17 AM
179	39	2	2/15/2006 10:09:17 AM
180	39	2	2/15/2006 10:09:17 AM
181	40	2	2/15/2006 10:09:17 AM
182	40	2	2/15/2006 10:09:17 AM
183	40	2	2/15/2006 10:09:17 AM
184	40	2	2/15/2006 10:09:17 AM
185	42	2	2/15/2006 10:09:17 AM
186	42	2	2/15/2006 10:09:17 AM
187	42	2	2/15/2006 10:09:17 AM
188	42	2	2/15/2006 10:09:17 AM
189	43	1	2/15/2006 10:09:17 AM
190	43	1	2/15/2006 10:09:17 AM
191	43	1	2/15/2006 10:09:17 AM
192	43	2	2/15/2006 10:09:17 AM
193	43	2	2/15/2006 10:09:17 AM
194	43	2	2/15/2006 10:09:17 AM
195	43	2	2/15/2006 10:09:17 AM
196	44	1	2/15/2006 10:09:17 AM
197	44	1	2/15/2006 10:09:17 AM
198	44	2	2/15/2006 10:09:17 AM
199	44	2	2/15/2006 10:09:17 AM
200	44	2	2/15/2006 10:09:17 AM
201	45	1	2/15/2006 10:09:17 AM
202	45	1	2/15/2006 10:09:17 AM
203	45	1	2/15/2006 10:09:17 AM
204	45	1	2/15/2006 10:09:17 AM
205	45	2	2/15/2006 10:09:17 AM
206	45	2	2/15/2006 10:09:17 AM
207	46	2	2/15/2006 10:09:17 AM
208	46	2	2/15/2006 10:09:17 AM
209	46	2	2/15/2006 10:09:17 AM
210	47	2	2/15/2006 10:09:17 AM
211	47	2	2/15/2006 10:09:17 AM
212	48	1	2/15/2006 10:09:17 AM
213	48	1	2/15/2006 10:09:17 AM
214	48	2	2/15/2006 10:09:17 AM
215	48	2	2/15/2006 10:09:17 AM
216	49	1	2/15/2006 10:09:17 AM
217	49	1	2/15/2006 10:09:17 AM
218	49	1	2/15/2006 10:09:17 AM
219	49	2	2/15/2006 10:09:17 AM
220	49	2	2/15/2006 10:09:17 AM
221	49	2	2/15/2006 10:09:17 AM
222	50	1	2/15/2006 10:09:17 AM
223	50	1	2/15/2006 10:09:17 AM
224	50	1	2/15/2006 10:09:17 AM
225	50	2	2/15/2006 10:09:17 AM
226	50	2	2/15/2006 10:09:17 AM
227	51	1	2/15/2006 10:09:17 AM
228	51	1	2/15/2006 10:09:17 AM
229	51	2	2/15/2006 10:09:17 AM
230	51	2	2/15/2006 10:09:17 AM
231	51	2	2/15/2006 10:09:17 AM
232	51	2	2/15/2006 10:09:17 AM
233	52	2	2/15/2006 10:09:17 AM
234	52	2	2/15/2006 10:09:17 AM
235	53	1	2/15/2006 10:09:17 AM
236	53	1	2/15/2006 10:09:17 AM
237	54	1	2/15/2006 10:09:17 AM
238	54	1	2/15/2006 10:09:17 AM
239	54	1	2/15/2006 10:09:17 AM
240	54	2	2/15/2006 10:09:17 AM
241	54	2	2/15/2006 10:09:17 AM
242	55	1	2/15/2006 10:09:17 AM
243	55	1	2/15/2006 10:09:17 AM
244	55	1	2/15/2006 10:09:17 AM
245	55	1	2/15/2006 10:09:17 AM
246	55	2	2/15/2006 10:09:17 AM
247	55	2	2/15/2006 10:09:17 AM
248	56	1	2/15/2006 10:09:17 AM
249	56	1	2/15/2006 10:09:17 AM
250	56	1	2/15/2006 10:09:17 AM
251	56	2	2/15/2006 10:09:17 AM
252	56	2	2/15/2006 10:09:17 AM
253	57	1	2/15/2006 10:09:17 AM
254	57	1	2/15/2006 10:09:17 AM
255	57	1	2/15/2006 10:09:17 AM
256	57	1	2/15/2006 10:09:17 AM
257	57	2	2/15/2006 10:09:17 AM
258	57	2	2/15/2006 10:09:17 AM
259	57	2	2/15/2006 10:09:17 AM
260	58	2	2/15/2006 10:09:17 AM
261	58	2	2/15/2006 10:09:17 AM
262	58	2	2/15/2006 10:09:17 AM
263	58	2	2/15/2006 10:09:17 AM
264	59	1	2/15/2006 10:09:17 AM
265	59	1	2/15/2006 10:09:17 AM
266	59	1	2/15/2006 10:09:17 AM
267	59	2	2/15/2006 10:09:17 AM
268	59	2	2/15/2006 10:09:17 AM
269	60	1	2/15/2006 10:09:17 AM
270	60	1	2/15/2006 10:09:17 AM
271	60	1	2/15/2006 10:09:17 AM
272	61	1	2/15/2006 10:09:17 AM
273	61	1	2/15/2006 10:09:17 AM
274	61	1	2/15/2006 10:09:17 AM
275	61	1	2/15/2006 10:09:17 AM
276	61	2	2/15/2006 10:09:17 AM
277	61	2	2/15/2006 10:09:17 AM
278	62	2	2/15/2006 10:09:17 AM
279	62	2	2/15/2006 10:09:17 AM
280	63	1	2/15/2006 10:09:17 AM
281	63	1	2/15/2006 10:09:17 AM
282	63	2	2/15/2006 10:09:17 AM
283	63	2	2/15/2006 10:09:17 AM
284	64	2	2/15/2006 10:09:17 AM
285	64	2	2/15/2006 10:09:17 AM
286	64	2	2/15/2006 10:09:17 AM
287	65	2	2/15/2006 10:09:17 AM
288	65	2	2/15/2006 10:09:17 AM
289	65	2	2/15/2006 10:09:17 AM
290	65	2	2/15/2006 10:09:17 AM
291	66	1	2/15/2006 10:09:17 AM
292	66	1	2/15/2006 10:09:17 AM
293	66	1	2/15/2006 10:09:17 AM
294	67	1	2/15/2006 10:09:17 AM
295	67	1	2/15/2006 10:09:17 AM
296	67	2	2/15/2006 10:09:17 AM
297	67	2	2/15/2006 10:09:17 AM
298	67	2	2/15/2006 10:09:17 AM
299	67	2	2/15/2006 10:09:17 AM
300	68	1	2/15/2006 10:09:17 AM
301	68	1	2/15/2006 10:09:17 AM
302	68	2	2/15/2006 10:09:17 AM
303	68	2	2/15/2006 10:09:17 AM
304	69	1	2/15/2006 10:09:17 AM
305	69	1	2/15/2006 10:09:17 AM
306	69	1	2/15/2006 10:09:17 AM
307	69	1	2/15/2006 10:09:17 AM
308	69	2	2/15/2006 10:09:17 AM
309	69	2	2/15/2006 10:09:17 AM
310	69	2	2/15/2006 10:09:17 AM
311	69	2	2/15/2006 10:09:17 AM
312	70	1	2/15/2006 10:09:17 AM
313	70	1	2/15/2006 10:09:17 AM
314	70	2	2/15/2006 10:09:17 AM
315	70	2	2/15/2006 10:09:17 AM
316	71	2	2/15/2006 10:09:17 AM
317	71	2	2/15/2006 10:09:17 AM
318	71	2	2/15/2006 10:09:17 AM
319	71	2	2/15/2006 10:09:17 AM
320	72	1	2/15/2006 10:09:17 AM
321	72	1	2/15/2006 10:09:17 AM
322	72	1	2/15/2006 10:09:17 AM
323	72	1	2/15/2006 10:09:17 AM
324	72	2	2/15/2006 10:09:17 AM
325	72	2	2/15/2006 10:09:17 AM
